fecha,habitacion_id,planta,sector,tipo_habitacion,noches_estancia,nacionalidad,num_huespedes,tiene_ninos,segmento,dia_semana,mes,is_checkout,late_checkout,tiempo_estimado,tiempo_real,incidencia_camarera,opinion_cliente,sentimiento_nlp
2025-08-03,206,2,bajo,doble_estandar,10,España,1,False,Turismo,6,8,1,0,,,,,
2025-08-03,4802,48,alto,suite,1,USA,2,False,VIP,6,8,1,1,,,,,
2025-08-03,1809,18,medio,doble_superior,5,España,2,False,Pareja,6,8,0,0,,,,,
2025-08-03,709,7,bajo,doble_estandar,2,Alemania,2,False,Business,6,8,0,0,,,,,
2025-08-03,3009,30,medio,doble_superior,1,España,1,False,Business,6,8,1,0,,,,,
2025-08-03,1504,15,bajo,doble_estandar,1,Reino Unido,3,False,Business,6,8,1,0,,,,,
2025-08-03,3302,33,alto,suite,1,España,2,False,Business,6,8,1,0,,,,,
2025-08-03,1118,11,bajo,doble_superior,2,Reino Unido,2,False,Business,6,8,1,0,,,,,
2025-08-03,2601,26,medio,doble_superior,3,España,2,False,Pareja,6,8,0,0,,,,,
2025-08-03,2008,20,medio,doble_superior,3,Francia,1,False,Turismo,6,8,0,0,,,,,
2025-08-03,1014,10,bajo,doble_estandar,3,Reino Unido,2,True,Familia,6,8,0,0,,,,,
2025-08-03,1117,11,bajo,doble_superior,4,Alemania,3,False,Familia,6,8,0,0,,,,,
2025-08-03,614,6,bajo,doble_estandar,4,España,2,False,Pareja,6,8,0,0,,,,,
2025-08-03,615,6,bajo,doble_superior,1,Reino Unido,2,False,Business,6,8,1,0,,,,,
2025-08-03,1007,10,bajo,doble_estandar,1,España,1,False,Business,6,8,1,0,,,,,
2025-08-03,4202,42,alto,suite,2,Francia,1,False,Business,6,8,0,0,,,,,
2025-08-03,715,7,bajo,doble_superior,5,USA,1,True,Familia,6,8,0,0,,,,,
2025-08-03,2807,28,medio,doble_superior,2,España,3,True,Familia,6,8,0,0,,,,,
2025-08-03,705,7,bajo,doble_estandar,1,Francia,2,True,Familia,6,8,1,1,,,,,
2025-08-03,4702,47,alto,suite,3,Francia,2,False,Pareja,6,8,0,0,,,,,
2025-08-03,916,9,bajo,doble_superior,1,Reino Unido,1,True,Familia,6,8,1,1,,,,,
2025-08-03,1603,16,medio,doble_superior,2,Francia,2,False,Business,6,8,0,0,,,,,
2025-08-03,1001,10,bajo,doble_estandar,1,Alemania,2,False,Business,6,8,0,0,,,,,
2025-08-03,515,5,bajo,doble_superior,5,España,2,False,Pareja,6,8,0,0,,,,,
2025-08-03,1002,10,bajo,doble_estandar,4,Reino Unido,1,True,Familia,6,8,0,0,,,,,
2025-08-03,805,8,bajo,doble_estandar,2,Reino Unido,2,False,Business,6,8,1,0,,,,,
2025-08-03,2401,24,medio,doble_superior,2,Alemania,3,False,Business,6,8,1,0,,,,,
